iter	RMSE
0	4526569.249
1	4096120.577
2	3710463.644
3	3358561.11
4	3038314.096
5	2747963.552
6	2490599.328
7	2256168.284
8	2047183.991
9	1853289.827
10	1677786.716
11	1524409.372
12	1381928.564
13	1252731.056
14	1139872.221
15	1035406.745
16	939089.5682
17	853205.2624
18	775611.558
19	705773.5274
20	641116.8383
21	582903.7556
22	529853.0789
23	482707.0775
24	440847.4849
25	402379.4784
26	368111.9186
27	336673.1427
28	309141.4464
29	283317.683
30	260457.7474
31	240055.9989
32	221615.928
33	205254.5502
34	190505.9725
35	177827.5032
36	165772.3222
37	155493.2163
38	146483.6004
39	138538.4705
40	131457.2764
41	125185.1884
42	119727.8584
43	115146.4045
44	111271.3602
45	107891.2078
46	105118.3591
47	102610.9048
48	100518.4492
49	98634.37826
50	96817.77596
51	95382.40591
52	94095.52089
53	92874.10723
54	91933.90849
55	91091.9523
56	90397.98928
57	89562.77626
58	88792.45163
59	88203.99087
60	87634.41931
61	87057.57763
62	86468.54141
63	85989.64569
64	85418.86305
65	84929.52491
66	84417.25046
67	83885.81306
68	83463.61426
69	83092.52603
70	82596.53489
71	82230.97685
72	81899.36662
73	81454.05043
74	81068.50143
75	80846.6181
76	80533.5588
77	80332.65658
78	79950.5957
79	79587.56286
80	79427.78034
81	79256.60571
82	78980.90831
83	78621.34348
84	78385.63239
85	78230.9138
86	77993.78408
87	77767.45622
88	77331.15332
89	77065.55612
90	76682.01327
91	76446.29663
92	76131.68984
93	75869.522
94	75550.74247
95	75352.73408
96	75174.95126
97	74879.83941
98	74596.24026
99	74115.76527
100	73972.34179
101	73868.04425
102	73686.57261
103	73460.5839
104	73186.72754
105	72803.8936
106	72547.19085
107	72222.04591
108	71813.27291
109	71646.56645
110	71328.19545
111	71231.01446
112	70960.52684
113	70747.79098
114	70652.93743
115	70287.15698
116	69957.81203
117	69732.65654
118	69628.8387
119	69342.59652
120	69240.91851
121	68994.78313
122	68643.28124
123	68541.61512
124	68400.5572
125	68220.53117
126	68069.02244
127	67798.89535
128	67490.48758
129	67375.09481
130	67169.57772
131	67104.56917
132	66690.74016
133	66415.03786
134	66180.83096
135	66116.77255
136	66030.95735
137	65909.35964
138	65837.87109
139	65683.2986
140	65517.03875
141	65250.87846
142	65064.21649
143	64946.6364
144	64600.18796
