iter	RMSE
0	4719504.253
1	4473083.226
2	4261416.955
3	4077714.26
4	3916525.039
5	3778578.554
6	3658289.084
7	3550679.922
8	3462667.098
9	3381566.825
10	3312823.801
11	3257790.805
12	3206897.339
13	3162182.098
14	3124091.515
15	3089529.52
16	3059286.094
17	3034233.778
18	3011931.568
19	2992252.921
20	2975449.433
21	2961565.098
22	2947094.373
23	2934781.364
24	2924358.008
25	2915245.887
26	2906172.689
27	2896123.714
28	2888667.899
29	2881322.877
30	2874986.724
31	2869337.579
32	2864473.19
33	2859523.278
34	2855514.741
35	2851391.226
36	2846824.798
37	2842392.494
38	2839344.537
39	2836622.432
40	2833622.567
41	2831584.003
42	2827016.164
43	2823498.829
44	2819575.263
45	2817261.418
46	2815154.651
47	2813393.461
48	2811531.106
49	2809997.721
50	2806348.296
51	2804067.398
52	2801418.619
53	2799871.364
54	2797168.341
55	2794254.59
56	2792009.716
57	2790919.299
58	2789489.985
59	2787237.412
60	2783801.737
61	2781868.97
62	2780640.024
63	2778987.669
64	2777928.386
65	2775339.541
66	2772648.691
67	2771452.178
68	2770134.907
69	2767258.168
70	2764943.316
71	2763097.838
72	2762025.557
73	2760921.326
74	2759183.834
75	2757966.605
76	2756282.989
77	2755236.597
78	2753901.82
79	2752746.841
80	2751875.413
81	2750462.719
82	2749537.689
83	2747587.541
84	2746366.896
85	2744887.353
86	2743820.391
87	2742346.623
88	2740799.603
89	2739748.52
90	2738979.453
91	2737648.897
92	2736491.853
93	2735838.254
94	2734892.117
95	2734291.309
96	2733568.625
97	2733059.582
98	2732616.013
99	2731525.18
100	2730775.744
101	2730352.981
102	2728997.01
103	2727639.361
104	2726423.791
105	2725271.241
106	2724345.738
107	2723124.77
108	2722253.548
109	2721581.614
110	2720562.183
111	2719852.741
112	2718810.425
113	2717908.358
114	2717120.654
115	2716495.507
116	2716048.223
117	2715553.215
118	2714997.295
119	2714454.58
120	2712879.865
121	2711917.853
122	2711358.631
123	2710376.147
124	2709618.288
125	2708926.676
126	2708281.831
127	2707758.177
128	2707053.536
129	2706188.127
130	2704970.523
131	2704272.479
132	2703026.21
133	2702084.286
134	2701179.027
135	2699983.96
136	2698954.938
137	2698019.008
138	2697464.767
139	2696998.119
140	2696220.839
141	2694983.835
142	2693874.836
143	2692842.42
144	2692449.727
145	2691898.684
146	2691330.736
147	2690296.942
148	2689421.431
149	2688435.346
150	2688020.714
151	2687094.032
152	2686411.359
153	2685788.555
154	2685178.721
155	2684206.787
156	2683470.414
157	2682461.298
158	2681933.375
159	2681165.018
160	2680252.248
161	2679651.308
162	2678816.755
163	2678418.056
164	2677732.437
165	2677122.693
166	2676694.304
167	2675910.726
168	2675465.791
169	2675027.808
170	2674600.396
171	2673768.953
172	2673391.857
173	2672760.553
174	2672342.153
175	2671819.072
176	2671481.86
177	2671087.362
178	2670482.195
179	2669679.971
180	2668610.648
181	2668211.41
182	2667723.784
183	2667122.668
184	2666653.554
185	2666028.393
186	2665264.195
187	2664868.841
188	2664151.121
189	2663522.358
190	2662824.034
191	2662132.911
192	2661524.161
193	2661027.087
194	2660444.424
195	2659617.143
196	2658412.114
197	2658139.086
198	2657825.493
199	2657184.486
200	2656658.868
201	2656060.619
202	2655261.78
203	2654736.843
204	2654402.19
205	2653901.811
206	2653079.381
207	2652612.14
208	2652249.349
209	2651660.537
210	2651254.952
211	2650456.374
212	2649946.706
