iter	Passed	Remaining
0	4	410
1	6	308
2	8	274
3	11	285
4	14	270
5	16	254
6	18	247
7	21	248
8	23	240
9	25	232
10	28	228
11	31	229
12	34	231
13	38	237
14	41	233
15	44	231
16	46	225
17	48	221
18	52	222
19	55	221
20	58	221
21	62	222
22	65	220
23	67	215
24	70	210
25	73	209
26	76	207
27	79	203
28	81	199
29	84	197
30	87	194
31	89	190
32	91	185
33	94	183
34	97	181
35	99	177
36	102	174
37	105	172
38	108	169
39	110	165
40	112	161
41	115	160
42	119	158
43	121	155
44	124	151
45	126	149
46	129	146
47	131	142
48	134	140
49	138	138
50	142	136
51	144	133
52	147	130
53	150	128
54	152	124
55	154	121
56	158	119
57	161	116
58	164	114
59	166	111
60	169	108
61	172	105
62	179	105
63	181	102
64	184	99
65	188	96
66	190	93
67	193	91
68	195	87
69	200	86
70	206	84
71	209	81
72	211	78
73	213	75
74	216	72
75	218	69
76	221	66
77	224	63
78	226	60
79	229	57
80	232	54
81	235	51
82	237	48
83	239	45
84	242	42
85	245	39
86	247	37
87	251	34
88	253	31
89	255	28
90	258	25
91	264	22
92	266	20
93	270	17
94	272	14
95	274	11
96	277	8
97	279	5
98	281	2
99	284	0
